,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
113,Fe(PO3)4,mp-540054,Li2Fe(PO3)4,mp-540149,4.666143603750006,mp-540054_Li,139.0064801459598,393.87721250965393,648.6241982128727,1837.887635814804,0.0026865258521238
114,Fe(PO3)4,mp-31874,LiFe(PO3)4,mp-540356,5.321295494999992,mp-31874_Li,70.77721764469369,166.69866998708918,376.6264894013425,887.052881624788,0.0008113342129449
115,Fe3(P3O10)2,mp-31877,LiFe3(P3O10)2,mp-31806,4.478261175000005,mp-31806_Li,39.39618175002675,105.3508589848636,176.42639117438856,471.7886615448152,0.012491097333005
116,Fe5(P2O7)4,mp-705433,LiFe5(P2O7)4,mp-705376,5.126849620000007,mp-705376_Li,158.17615735434956,481.60510272195467,566.8158648115736,1725.8063248146354,0.0071246016260211
117,VOF3,mp-781081,LiVOF3,mp-765230,4.396753485,mp-765230_Li,204.78356710476788,589.6045117940794,900.3828623386195,2592.345692002342,0.0377722357023411
118,VOF3,mp-764252,LiVOF3,mp-764682,4.075575989999999,mp-764252_Li,204.78356710476788,491.7378601260063,834.6109892387456,2004.115016103529,0.0121697622576566
119,VOF3,mp-764287,LiVOF3,mp-769879,4.138057319999996,mp-764287_Li,204.78356710476788,579.1951598379057,847.4061388735952,2396.7427708758137,0.0076731550060007
120,VOF3,mp-764274,LiVOF3,mp-771681,4.078583048750003,mp-764274_Li,204.78356710476788,603.6042871259066,835.226785456065,2461.8502136245525,0.0499064618990716
121,VOF3,mp-764241,LiVOF3,mp-765498,4.001693935000004,mp-764241_Li,204.78356710476788,604.7377205464285,819.481158470816,2419.97526857637,0.1362220934179816
123,Sn(PO3)3,mp-26172,LiSn(PO3)3,mp-504211,4.153210939999999,mp-26172_Li,73.92148150079447,242.3497530074036,307.0115056701072,1006.5296454966464,0.0221926387017747
124,LiSn2P5O16,mp-673029,Li3Sn2P5O16,mp-684470,3.4765761975,mp-673029_Li,80.11177053577407,241.5949532805148,278.5146745842539,839.9232640111622,0.0354662826848675
125,SnP2O7,mp-757076,Li2SnP2O7,mp-26407,2.6555473599999977,mp-26407_Li,174.86716380034332,569.4993410082013,464.3680351806889,1512.3324715360675,0.1129221697525921
126,LiSnP2O7,mp-673144,Li2SnP2O7,mp-27033,4.531091477500004,mp-27033_Li,87.43358190017166,290.5642235192988,396.1695577951664,1316.5730768547007,0.0670773342450568
127,Li2Fe(PO4)2,mp-762755,Li3Fe(PO4)2,mp-762707,4.964355079999995,mp-31815_Li,195.95183656199265,515.1276163469778,830.3954798169361,2182.983592542519,0.0473186642835885
128,Fe2P3O10,mp-540498,LiFe2P3O10,mp-31800,3.758837644999991,mp-31800_Li,72.13497312754636,240.55946418255195,271.143652512884,904.2239698304032,0.0297737196235932
129,Fe3P4O15,mp-705395,LiFe3P4O15,mp-705381,5.486767375000006,mp-705381_Li,191.71815449721865,588.4258862168143,712.4737474711128,2186.7412471257985,0.0100840199363101
130,Fe2(PO4)3,mp-31866,Li2Fe2(PO4)3,mp-851285,5.132882131250005,mp-1172998_Li,310.6992436075142,920.7044434637376,1246.3744189612232,3693.418923178155,0.0048914408732101
131,Fe3(PO4)4,mp-1101553,Li3Fe3(PO4)4,mp-31828,4.894952179999995,mp-1101553_Li,141.4964736535756,409.79946385459687,692.6184721728819,2005.948778957888,0.0676994591516551
